Sample	Study	Site	Site latitude	Site longitude	Country	Year	ENA	All samples same individual	% callable	location_id	continent	date_of_collection	doc_accuracy	partner_sample_id	derivative_sample_id	original_sample_id	sampling_event_id	individual_id	mean_coverage	bases_no_coverage_percent	bases_low_coverage_percent	bases_excessive_coverage_percent	bases_poor_mapping_quality_percent	bases	bases_of_1X_coverage	bases_of_5X_coverage	bases_duplicated	mean_insert_size	sd_insert_size	avg_read_length	error_rate	average_quality	reads_mapped	reads_properly_paired	genome_50pc_callable	preferred_sample_individual	preferred_sample_sampling_event	in_pv_10	in_pv_20	in_pv_30	first_release	dna_prep	id_run	preQC_exclusion_reason	GADM	GADM_0	GADM_1	GADM_2	GADM_3	Species	public_exclusion_reason	median_distance_to_other_samples	internal_exclusion_reason	nearest_sample	nearest_sample_dist	nearest_sample_country	nearest_country	nearest_site	nearest_population	nearest_continent	Continent_mismatch	QC_pass	sub_population	analysis_sub_population	population	analysis_population	colouring_sub_population	in_analysis_set	subpopulation_colour	population_colour
PH0096-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2009	ERR713960	PH0096-CW	87.43	Pursat	Asia	2009-01-01	year	260-3	DS_PH0096-CW	OS_1044_260-3	SE_1044_260-3	IN_1044_260-3	136.56	6.15	4.03	0.0	1.88	4183428039	27507550	26521244	139401900	256.5	123.3	99	0.007240076	27.7	41443077	40353713	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.02024134062230587		IVC10-OM-0303	0.015655560418963432	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0098-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2009	ERR216478, ERR490276	PH0098-C	73.53	Pursat	Asia	2009-01-01	year	272-2	DS_PH0098-C	OS_1044_272-2	SE_1044_272-2	IN_1044_272-2	8.31	4.18	20.86	0.0	0.91	425702416	27943866	23215975	14898500	245.2	95.9	99	0.02215485	24.6	2787466	2590501	True	True	True	True	True	True	1.0	DNA	8564, 12109		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.01927328668534756		IVC10-OM-0303	0.014768712222576141	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0099-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2009	ERR713961	PH0099-CW	88.0	Pursat	Asia	2009-01-01	year	300-2	DS_PH0099-CW	OS_1044_300-2	SE_1044_300-2	IN_1044_300-2	38.92	4.4	4.67	0.0	2.42	1265912883	27978017	26893669	24059400	244.4	88.0	99	0.01255168	27.1	11485700	11123768	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019823648035526283		IVC10-OM-0303	0.015108709223568441	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0100-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2009	ERR586249	PH0073-CW,PH0100-C	22.43	Pursat	Asia	2009-01-01	year	302-2	DS_PH0100-C	OS_1044_302-2	SE_1044_302-2	IN_1044_302	3.9	11.61	65.31	0.0	0.13	203429459	25897931	8011412	6854200	247.5	103.2	99	0.02328807	24.2	1283303	1193317	False	False	True	False	True	True	2.0	DNA	13254		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0177-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR023039	PH0177-C	89.37	Pursat	Asia	2010-01-01	year	PV0353	DS_PH0177-C	OS_1044_PV0353	SE_1044_PV0353	IN_1044_PV0353	177.14	3.33	3.25	0.0	3.53	5255923036	28135615	27445510	547030140	315.9	41.2	75	0.009174983000000001	27.9	66509546	63083001	True	True	True	True	True	True	1.0	DNA	5341		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.01974408328533173		IVC10-OM-0303	0.015340358950197697	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0178-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR023040	PH0178-C	87.91	Pursat	Asia	2010-01-01	year	PV0356	DS_PH0178-C	OS_1044_PV0356	SE_1044_PV0356	IN_1044_PV0356	109.53	6.41	1.77	0.0	3.4	3297051083	27317222	27008565	736318248	317.4	38.9	75	0.01301365	27.8	40044514	37849537	True	True	True	True	True	True	1.0	DNA	5341		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.02001303248107433		IVC10-OM-0303	0.015150045976042747	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0180-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR023041	PH0180-C	90.1	Pursat	Asia	2010-01-01	year	PV0362	DS_PH0180-C	OS_1044_PV0362	SE_1044_PV0362	IN_1044_PV0362	80.62	2.17	3.11	0.0	4.1	2572399902	28432703	27951212	699334216	377.7	71.4	75	0.01313636	28.1	30579551	27081080	True	True	True	True	True	True	1.0	DNA	5341		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019338814541697502		IVC10-OM-0303	0.014727258123457432	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0181-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR713942	PH0181-CW	88.93	Pursat	Asia	2010-01-01	year	PV0364	DS_PH0181-CW	OS_1044_PV0364	SE_1044_PV0364	IN_1044_PV0364	90.95	4.58	2.14	0.0	3.83	2803350089	28002087	27483048	53799900	253.5	86.0	99	0.01549958	27.4	26194630	25315879	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019977377727627758		IVC10-OM-0303	0.01526859775185585	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0182-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR054082	PH0182-C	88.72	Pursat	Asia	2010-01-01	year	PV0365	DS_PH0182-C	OS_1044_PV0365	SE_1044_PV0365	IN_1044_PV0365	27.32	4.24	3.65	0.0	2.87	896389108	27908053	27158017	18675300	239.7	70.7	74	0.01614217	25.9	10377543	9668734	True	True	True	True	True	True	1.0	DNA	6692		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.0196558516472578		IVC10-OM-0303	0.01502060703933239	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0184-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR211549	PH0184-C	87.71	Pursat	Asia	2010-01-01	year	PV0081-2	DS_PH0184-C	OS_1044_PV0081-2	SE_1044_PV0081-2	IN_1044_PV0081-2	50.02	6.43	2.33	0.0	3.01	1519810086	27468838	26885318	28893300	254.1	83.1	99	0.01465201	26.9	14131336	13615724	True	True	True	True	True	True	1.0	DNA	8524		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019753685221076008		PH0190-C	0.0002510603226255625	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0185-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR713951	PH0185-CW	90.32	Pursat	Asia	2010-01-01	year	PV0200-3	DS_PH0185-CW	OS_1044_PV0200-3	SE_1044_PV0200-3	IN_1044_PV0200-3	136.77	3.39	1.67	0.0	4.11	4098896467	28291565	27922577	72637200	251.9	83.4	99	0.01340711	27.5	39264414	38235857	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019851736724376682		PH0187-C	0.011435048654675484	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0186-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR713952	PH0186-CW	90.81	Pursat	Asia	2010-01-01	year	PV0373	DS_PH0186-CW	OS_1044_PV0373	SE_1044_PV0373	IN_1044_PV0373	91.64	2.91	1.85	0.0	3.91	2820754172	28381803	27979433	52401700	256.3	86.0	99	0.01319112	27.4	26878487	26132208	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.020110979676246643		PH0310-C	0.015260128304362297	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0187-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR211561	PH0187-C	91.38	Pursat	Asia	2010-01-01	year	PV0374	DS_PH0187-C	OS_1044_PV0374	SE_1044_PV0374	IN_1044_PV0374	106.99	2.01	1.84	0.0	4.25	3328838024	28581402	28223701	60752000	241.0	71.7	99	0.02218483	26.4	30970678	29824713	True	True	True	True	True	True	1.0	DNA	8525		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019952358677983284		PH0185-CW	0.011435048654675484	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0188-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR023042	PH0188-C,PH0311-CW,PH0317-C	92.01	Pursat	Asia	2010-08-18	day	PV425	DS_PH0188-C	OS_1044_PV425	SE_1044_PV425	IN_1044_PV425	188.64	1.43	1.62	0.0	4.42	5817782851	28617030	28326079	653038512	367.7	92.3	75	0.01227145	28.0	72430291	69857118	True	False	False	True	True	True	1.0	DNA	5341		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0189-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR023043	PH0189-C,PH0312-C,PH0318-C	87.71	Pursat	Asia	2010-08-19	day	PV430	DS_PH0189-C	OS_1044_PV430	SE_1044_PV430	IN_1044_PV430	131.43	6.33	1.85	0.0	3.59	3892225868	27332912	26991612	624559716	410.8	68.2	75	0.01070009	28.2	48473880	44310264	True	False	False	True	True	True	1.0	DNA	5341		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0190-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR027119	PH0190-C,PH0313-C,PH0319-C	88.27	Pursat	Asia	2010-08-19	day	PV431	DS_PH0190-C	OS_1044_PV431	SE_1044_PV431	IN_1044_PV431	170.0	5.87	1.23	0.0	4.12	5313942037	27490093	27239232	243118224	329.6	64.9	75	0.01607491	27.8	63480162	57758718	True	True	True	True	True	True	1.0	DNA	5389		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.01971964724361896		PH0184-C	0.0002510603226255625	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0309-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR111729	PH0309-C,PH0315-C	86.49	Pursat	Asia	2010-01-01	year	PV420_MACS	DS_PH0309-C	OS_1044_PV420_MACS	SE_1044_PV420	IN_1044_PV420	22.01	6.79	4.11	0.0	2.09	716798047	27442570	26367902	7738400	236.6	78.3	99	0.01438865	26.6	6238265	5955358	True	True	True	True	True	True	1.0	DNA	7346		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pf,Pv	Mixed_species										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0310-C	1044-PF-KH-FAIRHURST	Ratanakiri	13.86208	107.09701499999998	Cambodia	2010	ERR152410	PH0310-C,PH0316-C	89.66	Ratanakiri	Asia	2010-01-01	year	PV423_MACS	DS_PH0310-C	OS_1044_PV423_MACS	SE_1044_PV423	IN_1044_PV423	73.48	3.19	3.08	0.0	3.55	2236483274	28288464	27624561	36040400	268.1	97.1	99	0.01479085	27.1	21203300	20178971	True	True	True	True	True	True	1.0	DNA	7909		https://gadm.org/maps/KHM/rotanokiri.html	KHM	rotanokiri			Pv	Analysis_set	0.019713493064045903		PH0186-CW	0.015260128304362297	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Ratanakiri	unassigned	ESEA	ESEA	ESEA: other	True	#f0d4f4	#984ea3
PH0311-CW	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR713955	PH0188-C,PH0311-CW,PH0317-C	92.34	Pursat	Asia	2010-08-18	day	PV425_MACS	DS_PH0311-CW	OS_1044_PV425_MACS	SE_1044_PV425	IN_1044_PV425	131.98	1.33	1.49	0.0	4.32	4135246354	28709782	28447642	88229900	246.0	81.5	99	0.015303799999999998	27.5	39133881	37929348	True	True	True	False	True	True	2.0	MDA	14453		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.01973070204257965		IVC10-OM-0303	0.015082876197993757	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0312-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR216477	PH0189-C,PH0312-C,PH0318-C	88.25	Pursat	Asia	2010-08-19	day	PV430_MACS	DS_PH0312-C	OS_1044_PV430_MACS	SE_1044_PV430	IN_1044_PV430	112.56	5.92	1.63	0.0	3.68	3380246647	27686765	27259450	81057600	239.8	72.4	99	0.01519286	27.4	32136814	31150766	True	True	True	True	True	True	1.0	DNA	8564		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019985364750027657		PH1113-C	0.015538741834461687	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH0313-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR111730	PH0190-C,PH0313-C,PH0319-C	87.81	Pursat	Asia	2010-08-19	day	PV431_MACS	DS_PH0313-C	OS_1044_PV431_MACS	SE_1044_PV431	IN_1044_PV431	80.75	5.81	2.7	0.0	3.16	2317760108	27616758	26958012	20379800	263.7	85.9	99	0.01294621	27.1	22459274	21512763	True	False	False	True	True	True	1.0	DNA	7346		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0315-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR054083	PH0309-C,PH0315-C	85.18	Pursat	Asia	2010-01-01	year	PV420_CF11_P	DS_PH0315-C	OS_1044_PV420_CF11_P	SE_1044_PV420	IN_1044_PV420	19.11	7.57	5.22	0.0	1.52	612818573	26989984	25775674	12844425	235.0	68.2	74	0.01378991	25.7	6979219	6503183	True	False	False	True	True	True	1.0	DNA	6692		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0316-C	1044-PF-KH-FAIRHURST	Ratanakiri	13.86208	107.09701499999998	Cambodia	2010	ERR152411	PH0310-C,PH0316-C	89.35	Ratanakiri	Asia	2010-01-01	year	PV423_Plasmo	DS_PH0316-C	OS_1044_PV423_Plasmo	SE_1044_PV423	IN_1044_PV423	45.2	3.34	3.63	0.0	3.16	1413036610	28243485	27457896	22718800	252.1	86.8	99	0.01577954	27.1	13130381	12620947	True	False	False	True	True	True	1.0	DNA	7909		https://gadm.org/maps/KHM/rotanokiri.html	KHM	rotanokiri			Pv	Lower_covered_duplicate										None	False	Cambodia: Ratanakiri	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0317-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR111731	PH0188-C,PH0311-CW,PH0317-C	91.55	Pursat	Asia	2010-08-18	day	PV425_CF11_P	DS_PH0317-C	OS_1044_PV425_CF11_P	SE_1044_PV425	IN_1044_PV425	56.48	1.8	2.54	0.0	3.6	1706251138	28573205	28095631	14428200	271.9	97.5	99	0.01545784	27.1	16273723	15435272	True	False	False	True	True	True	1.0	DNA	7346		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0318-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR152412	PH0189-C,PH0312-C,PH0318-C	88.16	Pursat	Asia	2010-08-19	day	PV430_CF11_P	DS_PH0318-C	OS_1044_PV430_CF11_P	SE_1044_PV430	IN_1044_PV430	93.37	5.8	2.01	0.0	3.51	2771415548	27683116	27163995	51691800	249.3	78.7	99	0.01463108	27.3	26383099	25485814	True	False	False	True	True	True	1.0	DNA	7909		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0319-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2010	ERR111732	PH0190-C,PH0313-C,PH0319-C	88.06	Pursat	Asia	2010-08-19	day	PV431_CF11_P	DS_PH0319-C	OS_1044_PV431_CF11_P	SE_1044_PV431	IN_1044_PV431	75.3	5.94	2.05	0.0	3.44	2205979224	27617507	27105903	20907600	265.5	89.3	99	0.01558759	27.1	21036024	20054986	True	False	False	True	True	True	1.0	DNA	7346		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Lower_covered_duplicate										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH0320-C	1044-PF-KH-FAIRHURST	Ratanakiri	13.86208	107.09701499999998	Cambodia	2010	ERR152413	PH0320-C	89.77	Ratanakiri	Asia	2010-01-01	year	PV433_CF11_P	DS_PH0320-C	OS_1044_PV433_CF11_P	SE_1044_PV433	IN_1044_PV433	95.19	4.18	2.02	0.0	3.52	2814713144	28068063	27602722	52558800	281.0	100.0	99	0.01389322	27.3	26991951	26157540	True	True	True	True	True	True	1.0	DNA	7909		https://gadm.org/maps/KHM/rotanokiri.html	KHM	rotanokiri			Pv	Analysis_set	0.019898615777492527		IVC10-OM-0303	0.0152059318497777	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Ratanakiri	unassigned	ESEA	ESEA	ESEA: other	True	#f0d4f4	#984ea3
PH1075-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR590475	PH1075-C	45.84	Pursat	Asia	2012-01-01	year	094-KH1-733	DS_PH1075-C	OS_1044_094-KH1-733	SE_1044_094-KH1-733	IN_1044_094-KH1-733	5.46	9.99	43.42	0.0	0.24	230552671	26351141	15070065	6448400	237.7	94.8	99	0.01940444	25.0	1678852	1588240	False	True	True	False	True	True	2.0	DNA	13253		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1076-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR586245	PH1076-C	1.27	Pursat	Asia	2012-01-01	year	094-KH1-734	DS_PH1076-C	OS_1044_094-KH1-734	SE_1044_094-KH1-734	IN_1044_094-KH1-734	2.14	34.5	63.68	0.0	0.03	157841026	19327314	787619	8692300	229.5	121.4	99	0.03406452	21.4	715725	631627	False	True	True	False	True	True	2.0	DNA	13254		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1077-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR590463	PH1077-C	9.77	Pursat	Asia	2012-01-01	year	094-KH1-735	DS_PH1077-C	OS_1044_094-KH1-735	SE_1044_094-KH1-735	IN_1044_094-KH1-735	3.05	17.72	71.91	0.0	0.07	177923476	24160268	3860781	7323300	237.7	106.5	99	0.02609987	23.1	1043485	956067	False	True	True	False	True	True	2.0	DNA	13253		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1078-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR337538, ERR490269	PH1078-C	86.88	Pursat	Asia	2012-01-01	year	094-KH1-736	DS_PH1078-C	OS_1044_094-KH1-736	SE_1044_094-KH1-736	IN_1044_094-KH1-736	15.09	5.67	5.08	0.0	1.86	571065292	27650570	26490422	13991400	233.1	89.5	99	0.01796368	26.0	4574440	4335934	True	True	True	True	True	True	1.0	DNA	10061, 12109		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.01979476772248745		IVC10-OM-0303	0.015244406647980213	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
PH1079-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR590457	PH1079-C	5.55	Pursat	Asia	2012-01-01	year	094-KH1-737	DS_PH1079-C	OS_1044_094-KH1-737	SE_1044_094-KH1-737	IN_1044_094-KH1-737	2.69	22.14	71.72	0.0	0.07	174266355	22914428	2449827	8400400	233.6	110.3	99	0.02995451	22.4	944004	851360	False	True	True	False	True	True	2.0	DNA	13253		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1080-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR586242	PH1080-C	32.4	Pursat	Asia	2012-01-01	year	094-KH1-738	DS_PH1080-C	OS_1044_094-KH1-738	SE_1044_094-KH1-738	IN_1044_094-KH1-738	4.6	10.67	56.21	0.0	0.2	232691756	26156026	11237241	10236500	251.2	104.1	99	0.0243135	23.9	1533027	1409992	False	True	True	False	True	True	2.0	DNA	13254		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1082-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR586236	PH1082-C	43.8	Pursat	Asia	2012-01-01	year	094-KH1-741	DS_PH1082-C	OS_1044_094-KH1-741	SE_1044_094-KH1-741	IN_1044_094-KH1-741	5.44	10.16	45.21	0.0	0.32	256107488	26303018	14656857	8673200	247.2	97.5	99	0.02232405	24.5	1766801	1649931	False	True	True	False	True	True	2.0	DNA	13254		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1083-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR590446	PH1083-C	32.38	Pursat	Asia	2012-01-01	year	094-KH1-742	DS_PH1083-C	OS_1044_094-KH1-742	SE_1044_094-KH1-742	IN_1044_094-KH1-742	4.7	10.01	56.87	0.0	0.23	219434567	26387751	11189917	6615400	228.0	91.3	99	0.02268766	24.4	1524037	1429138	False	True	True	False	True	True	2.0	DNA	13253		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Less_than_50pc_callable										None	False	Cambodia: Pursat	unassigned	ESEA	unassigned	unassigned	False	#d3d3d3	#d3d3d3
PH1084-C	1044-PF-KH-FAIRHURST	Pursat	12.372197	103.633575	Cambodia	2012	ERR337542, ERR490277	PH1084-C	67.57	Pursat	Asia	2012-01-01	year	094-KH1-743	DS_PH1084-C	OS_1044_094-KH1-743	SE_1044_094-KH1-743	IN_1044_094-KH1-743	7.73	5.82	25.21	0.0	0.89	337158559	27536640	21705971	11216600	237.5	94.7	99	0.02102379	25.1	2473855	2307613	True	True	True	True	True	True	1.0	DNA	10061, 12109		https://gadm.org/maps/KHM/pouthisat.html	KHM	pouthisat			Pv	Analysis_set	0.019536657258868214		IVC10-OM-0303	0.014868635684251784	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Cambodia: Pursat	Cambodia: Pursat	ESEA	ESEA	ESEA: Cambodia, Pursat	True	#d987e5	#984ea3
